timestamp,Tout_C,Tin_C,SolarGain_W,InternalGain_W,HeatingLoad_W,CoolingLoad_W,HVACLoad_W,BaseElectric_W,HVACElectric_W,TotalElectric_W,COP,EER,HeatingLoad_kW,CoolingLoad_kW,HVACLoad_kW,BaseElectric_kW,HVACElectric_kW,TotalElectric_kW
2025-01-01 00:00:00,-1.1097546,21.0,0.0,509.80000000000007,13788.157609566253,0.0,13788.157609566253,449.80000000000007,5676.824601695876,6126.624601695876,2.4288503832665933,8.0,13.788157609566253,0.0,13.788157609566253,0.4498000000000001,5.676824601695875,6.126624601695876
2025-01-01 01:00:00,-1.2997546,21.0,0.0,509.80000000000007,13911.02699436791,0.0,13911.02699436791,449.80000000000007,5748.928343981709,6198.728343981709,2.4197600251759495,8.0,13.91102699436791,0.0,13.91102699436791,0.4498000000000001,5.748928343981709,6.198728343981709
2025-01-01 02:00:00,-1.5297545,21.0,0.0,509.80000000000007,14059.76355340708,0.0,14059.76355340708,449.80000000000007,5833.093196538111,6282.893196538112,2.4103444055636594,8.0,14.05976355340708,0.0,14.05976355340708,0.4498000000000001,5.833093196538112,6.282893196538112
2025-01-01 03:00:00,-1.5997547,21.0,0.0,509.80000000000007,14105.031350828094,0.0,14105.031350828094,449.80000000000007,5857.957119088596,6307.7571190885965,2.407841345384005,8.0,14.105031350828094,0.0,14.105031350828094,0.4498000000000001,5.857957119088597,6.307757119088596
2025-01-01 04:00:00,-1.2197546,21.0,0.0,509.80000000000007,13859.292516556687,0.0,13859.292516556687,449.80000000000007,5718.83355206091,6168.63355206091,2.423447437382083,8.0,13.859292516556687,0.0,13.859292516556687,0.4498000000000001,5.71883355206091,6.16863355206091
2025-01-01 05:00:00,-0.87975454,21.0,0.0,509.80000000000007,13639.420947058128,0.0,13639.420947058128,449.80000000000007,5586.866130497022,6036.666130497022,2.441336632822582,7.999056200253508,13.639420947058127,0.0,13.639420947058127,0.4498000000000001,5.586866130497022,6.036666130497022
2025-01-01 06:00:00,-0.04975462,21.0,0.0,2549.0,11063.47579150116,0.0,11063.47579150116,2249.0,4428.918333635419,6677.918333635419,2.4980085334786137,7.7622735289098035,11.06347579150116,0.0,11.06347579150116,2.249,4.428918333635419,6.677918333635419
2025-01-01 07:00:00,-0.07975459,21.0,0.0,2549.0,11082.87620127994,0.0,11082.87620127994,2249.0,4440.813767813559,6689.813767813559,2.495685876675844,7.770710962219233,11.082876201279939,0.0,11.082876201279939,2.249,4.440813767813559,6.689813767813559
2025-01-01 08:00:00,0.4502454,21.0,191.88,2549.0,10548.255292247393,0.0,10548.255292247393,2249.0,4154.252355467412,6403.252355467412,2.5391464912729327,7.622971094394634,10.548255292247394,0.0,10.548255292247394,2.249,4.154252355467412,6.403252355467412
2025-01-01 09:00:00,2.2002454,21.0,1476.0,2549.0,8132.4435901268735,0.0,8132.4435901268735,2249.0,3006.737802472002,5255.737802472002,2.704739862398627,7.154690477316887,8.132443590126874,0.0,8.132443590126874,2.249,3.006737802472002,5.255737802472002
2025-01-01 10:00:00,4.1402454,21.0,2966.7599999999998,509.80000000000007,7426.3225032046985,0.0,7426.3225032046985,449.80000000000007,2376.4235998192726,2826.2235998192727,3.124999475585696,6.669416478104247,7.426322503204698,0.0,7.426322503204698,0.4498000000000001,2.3764235998192724,2.8262235998192726
2025-01-01 11:00:00,5.8302455,21.0,4073.7599999999993,509.80000000000007,5226.4315947745035,0.0,5226.4315947745035,449.80000000000007,1531.245668068654,1981.0456680686539,3.413189472964553,6.274364712816192,5.226431594774503,0.0,5.226431594774503,0.4498000000000001,1.531245668068654,1.981045668068654
2025-01-01 12:00:00,7.380245,21.0,4339.44,509.80000000000007,3958.3964105225314,0.0,3958.3964105225314,449.80000000000007,1063.064909610625,1512.864909610625,3.72356981660922,5.9336638421136065,3.9583964105225315,0.0,3.9583964105225315,0.4498000000000001,1.0630649096106248,1.512864909610625
2025-01-01 13:00:00,8.380245,21.0,4132.8,509.80000000000007,3518.3554378822346,0.0,3518.3554378822346,449.80000000000007,882.6918080320143,1332.4918080320144,3.9859387000843536,5.724404500762404,3.5183554378822346,0.0,3.5183554378822346,0.4498000000000001,0.8826918080320143,1.3324918080320145
2025-01-01 14:00:00,8.510245,21.0,3173.4,509.80000000000007,4393.6869114389965,0.0,4393.6869114389965,449.80000000000007,1091.5229106984932,1541.3229106984932,4.025281437864978,5.697792671547887,4.393686911438997,0.0,4.393686911438997,0.4498000000000001,1.0915229106984932,1.5413229106984931
