location,Bâle,Bâle,Bâle,Bâle
lat,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653
variable,Temperature,Wind Speed,Wind Direction,Shortwave Radiation
unit,°C,km/h,°,W/m²
level,2 m elevation corrected,10 m,10 m,sfc
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Bâle Temperature [2 m elevation corrected],Bâle Wind Speed [10 m],Bâle Wind Direction [10 m],Bâle Shortwave Radiation
20250220T0100,0.84024537,5.991594,147.26477,0.0
20250220T0200,1.0802454,5.991594,147.26477,0.0
20250220T0300,1.5302454,5.692099,145.30484,0.0
20250220T0400,1.9502454,6.4096174,141.84277,0.0
20250220T0500,2.6702452,5.991594,147.26477,0.0
20250220T0600,3.4202452,5.904439,142.4314,0.0
20250220T0700,3.9202452,6.193674,144.46231,6.0
20250220T0800,4.4302454,6.792466,147.99461,63.0
20250220T0900,6.0602455,6.9527545,158.7495,93.0
20250220T1000,8.0602455,7.072878,165.25644,256.0
20250220T1100,10.500245,8.089993,159.14554,431.0
20250220T1200,12.400246,7.42159,165.96376,451.0
20250220T1300,13.790245,8.350138,172.56859,425.0
20250220T1400,14.940246,8.287822,177.51045,296.0
20250220T1500,14.780245,6.379216,163.61046,143.0
20250220T1600,14.420245,5.3999996,143.1301,72.0
20250220T1700,12.490245,5.8048253,150.25511,21.0
20250220T1800,10.860246,5.00128,149.74356,0.0
20250220T1900,7.920245,4.39436,145.00798,0.0
20250220T2000,7.6202455,4.8433046,138.01279,0.0
20250220T2100,7.1402454,5.1165614,140.71059,0.0
20250220T2200,6.150245,5.692099,145.30484,0.0
20250220T2300,5.5902452,5.95906,154.98311,0.0
20250221T0000,5.0102453,6.28713,156.37062,0.0
20250221T0100,4.4602456,5.8048253,150.25511,0.0
20250221T0200,4.2102456,5.1165614,140.71059,0.0
20250221T0300,3.7202454,5.1165614,140.71059,0.0
20250221T0400,3.2702456,5.1165614,140.71059,0.0
20250221T0500,3.5102453,5.3999996,143.1301,0.0
20250221T0600,3.5002456,5.692099,145.30484,0.0
20250221T0700,3.6402454,5.904439,142.4314,8.0
20250221T0800,4.790245,6.696387,143.74615,76.0
20250221T0900,7.0802455,6.1305785,139.76364,182.0
20250221T1000,9.110246,5.8603754,137.48955,272.0
20250221T1100,10.940246,7.7043357,142.59465,366.0
20250221T1200,12.910245,9.021574,151.38954,431.0
20250221T1300,14.430245,8.427383,160.01689,416.0
20250221T1400,15.150246,6.830519,161.56505,334.0
20250221T1500,15.020246,6.489992,146.30994,255.0
20250221T1600,13.630245,4.8433046,131.98721,120.0
20250221T1700,11.190246,6.3690495,137.2906,32.0
20250221T1800,9.910245,5.315336,151.69923,0.0
20250221T1900,8.710245,5.154415,155.22485,0.0
20250221T2000,7.5102453,5.154415,155.22485,0.0
20250221T2100,7.1002455,4.39436,145.00798,0.0
20250221T2200,7.0602455,3.8773184,158.1986,0.0
20250221T2300,6.540245,4.3498964,155.55605,0.0
20250222T0000,6.210245,5.5887027,165.06857,0.0
20250222T0100,6.0702453,4.0249224,153.43495,0.0
20250222T0200,6.1602454,4.39436,145.00798,0.0
20250222T0300,5.750245,4.6800003,157.38013,0.0
20250222T0400,4.9902453,4.829907,153.43495,0.0
20250222T0500,4.7402453,5.00128,149.74356,0.0
20250222T0600,5.0502453,5.1919937,146.30994,0.0
20250222T0700,5.400245,5.692099,145.30484,9.0
20250222T0800,6.3902454,6.12,151.9275,77.0
20250222T0900,8.620245,4.829907,153.43495,168.0
20250222T1000,10.550245,6.5693827,170.53767,297.0
20250222T1100,12.070246,6.924738,171.02737,332.0
20250222T1200,13.340245,6.725354,164.47589,321.0
20250222T1300,14.190246,5.4119864,176.18593,317.0
20250222T1400,14.800245,5.04,180.0,268.0
20250222T1500,15.130245,5.3999996,180.0,169.0
20250222T1600,14.190246,6.297428,210.96376,100.0
20250222T1700,12.020246,6.489992,213.69006,24.0
20250222T1800,12.360246,6.725354,195.52411,0.0
20250222T1900,10.870245,6.638072,192.52881,0.0
20250222T2000,10.580245,7.172949,197.52557,0.0
20250222T2100,10.280245,7.5685663,205.34618,0.0
20250222T2200,10.220245,7.42159,202.83365,0.0
20250222T2300,9.770246,6.6185193,202.38013,0.0
20250223T0000,9.140245,5.8603754,227.48956,0.0
20250223T0100,8.840245,5.8048253,240.25513,0.0
20250223T0200,8.430245,4.8965297,233.97263,0.0
20250223T0300,7.980245,3.8268526,221.18593,0.0
20250223T0400,7.940245,3.8939953,213.69006,0.0
20250223T0500,7.960245,3.396233,212.00539,0.0
20250223T0600,7.710245,3.0758414,200.55605,0.0
20250223T0700,7.900245,2.9024127,187.12502,5.0
20250223T0800,8.570246,2.52,180.0,37.0
20250223T0900,9.760245,2.6208394,195.9454,88.0
20250223T1000,10.740245,1.484318,284.03625,155.0
20250223T1100,11.430245,1.9386592,248.1986,226.0
20250223T1200,11.970245,1.609969,206.56505,262.0
20250223T1300,12.280245,2.9024127,187.12502,238.0
20250223T1400,12.520246,3.9763298,185.19443,281.0
20250223T1500,12.580245,3.6179552,185.71059,232.0
20250223T1600,11.770246,3.671294,168.69006,115.0
20250223T1700,10.900246,5.1919937,146.30994,41.0
20250223T1800,8.740245,6.439876,153.43495,0.0
20250223T1900,7.1202455,5.3517847,160.34618,0.0
20250223T2000,5.650245,4.6800003,157.38013,0.0
20250223T2100,5.2802453,3.5455887,156.0375,0.0
20250223T2200,4.8902454,5.315336,151.69923,0.0
20250223T2300,4.5802455,7.24486,153.43495,0.0
20250224T0000,4.1402454,6.9527545,158.7495,0.0
20250224T0100,4.0802455,6.12,151.9275,0.0
20250224T0200,4.1402454,5.692099,145.30484,0.0
20250224T0300,3.9602456,6.297428,149.03624,0.0
20250224T0400,4.2802453,6.989936,145.49147,0.0
20250224T0500,4.2602453,6.297428,149.03624,0.0
20250224T0600,4.2902455,6.12,151.9275,0.0
20250224T0700,4.8102455,6.6087217,150.64224,9.0
20250224T0800,5.8702455,6.763786,154.79887,69.0
20250224T0900,7.210245,7.289444,159.77515,124.0
20250224T1000,8.670245,7.754637,158.1986,215.0
20250224T1100,10.250245,8.557102,157.75098,302.0
20250224T1200,11.540245,9.449572,162.25533,307.0
20250224T1300,12.570246,9.0,163.73979,289.0
20250224T1400,12.990245,9.360001,157.38013,234.0
20250224T1500,12.910245,9.227524,159.44395,157.0
20250224T1600,12.250245,6.763786,154.79887,78.0
20250224T1700,10.990245,5.315336,151.69923,23.0
20250224T1800,10.200245,5.00128,149.74356,0.0
20250224T1900,9.970245,5.154415,155.22485,0.0
20250224T2000,9.600245,5.2416787,164.0546,0.0
20250224T2100,9.080245,5.506941,168.69006,0.0
20250224T2200,8.830245,4.32,180.0,0.0
20250224T2300,8.100245,5.4477882,172.40535,0.0
20250225T0000,8.010245,3.8773184,158.1986,0.0
20250225T0100,8.250245,3.5455887,156.0375,0.0
20250225T0200,8.320246,4.2136917,160.01689,0.0
20250225T0300,8.340245,3.219938,153.43495,0.0
20250225T0400,8.260245,3.8939953,146.30994,0.0
20250225T0500,8.170245,4.1046314,142.12502,0.0
20250225T0600,8.160246,4.6102495,141.34018,0.0
20250225T0700,8.200246,5.3999996,143.1301,5.0
20250225T0800,8.540245,6.12,151.9275,46.0
20250225T0900,8.790245,7.5170207,163.30075,91.0
20250225T1000,8.610246,6.989936,145.49147,57.0
20250225T1100,8.920245,9.47012,171.25385,53.0
20250225T1200,9.430245,8.427383,160.01689,107.0
20250225T1300,9.980246,10.383987,146.30994,186.0
20250225T1400,10.740245,12.181624,145.8403,155.0
20250225T1500,11.230246,11.983188,147.26477,167.0
20250225T1600,11.200245,8.905908,165.96376,181.0
20250225T1700,9.910245,9.007196,177.7094,54.0
20250225T1800,8.910245,13.979872,214.50853,0.0
20250225T1900,8.630245,15.408671,217.40535,0.0
20250225T2000,7.8302455,17.373497,214.01935,0.0
20250225T2100,7.3902454,20.08916,216.25385,0.0
20250225T2200,7.110245,19.734436,218.33334,0.0
20250225T2300,6.710245,22.725668,220.50285,0.0
20250226T0000,6.2802453,22.183128,221.71077,0.0
20250226T0100,5.8202453,22.657131,224.35626,0.0
20250226T0200,5.2402453,23.199759,228.14496,0.0
20250226T0300,4.880245,23.557316,231.20346,0.0
20250226T0400,4.4802456,22.039528,231.63252,0.0
20250226T0500,4.2702456,19.95972,230.85602,0.0
20250226T0600,4.2702456,19.008545,232.69606,0.0
20250226T0700,4.4702454,17.673029,236.63364,3.0
20250226T0800,4.790245,16.75064,241.78264,17.0
20250226T0900,5.440245,15.978484,247.47943,39.0
20250226T1000,5.5902452,13.891522,238.7816,67.0
20250226T1100,6.3302455,14.05845,256.67548,140.0
20250226T1200,7.1002455,12.144331,258.02386,191.0
20250226T1300,7.860245,11.013882,258.69006,291.0
20250226T1400,8.280246,10.390226,255.96376,350.0
20250226T1500,8.330246,10.137692,253.49564,254.0
20250226T1600,8.0602455,8.891344,248.62938,140.0
20250226T1700,6.880245,6.12,241.92752,50.0
20250226T1800,4.8202453,7.4128532,209.05461,0.0
20250226T1900,3.7302456,6.130579,183.36646,0.0
20250226T2000,2.5402455,6.8399997,180.0,0.0
20250226T2100,2.2302454,6.162207,173.29016,0.0
20250226T2200,2.1802454,7.208994,182.86241,0.0
20250226T2300,2.3802454,7.2359104,174.28941,0.0
20250227T0000,2.6902456,7.9932976,172.23483,0.0
20250227T0100,3.0802455,7.69592,169.2157,0.0
20250227T0200,3.7802453,8.12197,167.19574,0.0
20250227T0300,3.9902453,9.3669195,177.79741,0.0
20250227T0400,4.170245,9.826088,188.42697,0.0
20250227T0500,4.5702453,10.041354,194.53445,0.0
20250227T0600,4.6602454,10.495713,202.16635,0.0
20250227T0700,4.8502455,10.883676,214.2157,5.0
20250227T0800,5.250245,11.200571,225.0,56.0
20250227T0900,6.0502453,10.195057,227.86241,131.0
20250227T1000,7.110245,9.449572,220.36453,231.0
20250227T1100,8.150246,10.086427,214.8245,339.0
20250227T1200,8.680245,9.220499,218.65982,414.0
20250227T1300,8.740245,8.287822,235.61966,424.0
20250227T1400,8.850245,8.905908,255.96376,367.0
20250227T1500,8.620245,9.0645685,263.15723,300.0
20250227T1600,8.3102455,6.849467,266.9872,165.0
20250227T1700,6.880245,5.8048253,240.25513,56.0
20250227T1800,5.110245,7.145796,220.91438,0.0
20250227T1900,4.0102453,8.161764,221.42366,0.0
20250227T2000,3.5602455,6.1094027,225.0,0.0
20250227T2100,3.6602454,5.3517847,222.27368,0.0
20250227T2200,3.5702453,7.7043357,232.59465,0.0
20250227T2300,3.3702455,6.6087217,209.35776,0.0
20250228T0000,3.2002454,5.6920996,198.43495,0.0
20250228T0100,2.2702456,5.937272,194.03624,0.0
20250228T0200,1.3602455,5.2416787,195.9454,0.0
20250228T0300,0.8702454,5.2416787,195.9454,0.0
20250228T0400,0.88024545,4.2136917,199.98311,0.0
20250228T0500,0.6602454,5.3517847,199.65382,0.0
20250228T0600,0.6302454,5.6920996,198.43495,0.0
20250228T0700,1.5902454,4.0249224,206.56505,20.0
20250228T0800,2.8202453,4.198285,210.96376,121.0
20250228T0900,4.0402455,4.6102495,231.3402,223.0
20250228T1000,5.380245,5.3517847,289.6538,333.0
20250228T1100,6.2402453,5.692099,325.30484,394.0
20250228T1200,6.440245,6.439876,333.43497,362.0
20250228T1300,6.520245,7.754637,338.1986,301.0
20250228T1400,6.5302453,8.557102,345.37915,253.0
20250228T1500,6.460245,7.9526596,354.8056,173.0
20250228T1600,6.230245,7.5599995,360.0,155.0
20250228T1700,5.0102453,5.0528407,4.085617,57.0
20250228T1800,3.7402453,7.9526596,5.194412,1.0
20250228T1900,3.2902455,7.5685663,2.7262878,0.0
20250228T2000,3.4002452,7.2805495,8.530762,0.0
20250228T2100,2.9202452,7.8625183,15.945404,0.0
20250228T2200,2.4802454,8.350138,7.431381,0.0
20250228T2300,1.9002454,7.8625183,15.945404,0.0
20250301T0000,1.4602454,8.854829,26.565033,0.0
20250301T0100,1.5102453,8.39657,30.963745,0.0
20250301T0200,1.6202455,8.39657,30.963745,0.0
20250301T0300,2.0302453,7.42159,22.833649,0.0
20250301T0400,2.1702454,6.9527545,21.250488,0.0
20250301T0500,2.2002454,6.9527545,21.250488,0.0
20250301T0600,2.3602452,7.42159,22.833649,0.0
20250301T0700,2.5302453,8.854829,26.565033,12.0
20250301T0800,3.1402454,12.819235,38.157227,86.0
20250301T0900,4.0802455,16.78156,54.605194,176.0
20250301T1000,5.2402453,18.075441,45.806915,308.0
20250301T1100,6.290245,18.504139,52.907158,330.0
20250301T1200,7.190245,18.171976,56.30993,439.0
20250301T1300,7.610245,18.671474,56.00354,392.0
20250301T1400,7.9102454,18.472595,56.929314,379.0
20250301T1500,7.9302454,17.595861,59.237274,287.0
20250301T1600,7.4302454,13.493999,46.080917,199.0
20250301T1700,6.4102454,13.104198,37.184692,71.0
20250301T1800,5.2202454,12.538134,39.173645,1.0
20250301T1900,4.2402453,11.200571,44.999985,0.0
20250301T2000,3.3502455,9.422101,43.451828,0.0
20250301T2100,2.8002453,8.78872,34.99202,0.0
20250301T2200,3.1302452,9.339208,27.552795,0.0
20250301T2300,2.4802454,9.387651,32.47119,0.0
20250302T0000,2.0002456,8.669949,41.63353,0.0
20250302T0100,1.4502454,8.435069,39.805573,0.0
20250302T0200,1.3002454,8.4963045,36.38434,0.0
20250302T0300,0.88024545,7.9932966,35.837646,0.0
20250302T0400,0.5702454,7.653705,41.18593,0.0
20250302T0500,0.2402454,6.8777895,47.121094,0.0
20250302T0600,-0.2697546,6.1305785,49.76364,0.0
20250302T0700,0.84024537,5.815978,21.801407,29.0
20250302T0800,2.4202454,8.557102,22.249008,146.0
20250302T0900,3.6802454,11.384198,34.69516,286.0
20250302T1000,5.420245,11.304229,37.234833,415.0
20250302T1100,7.1402454,10.144082,62.52556,543.0
20250302T1200,8.470245,9.0645685,83.15723,583.0
20250302T1300,9.400246,8.209263,74.74488,572.0
20250302T1400,10.000245,8.699793,65.55604,499.0
20250302T1500,10.300245,7.5685663,64.65382,383.0
20250302T1600,9.770246,4.39436,55.007973,233.0
20250302T1700,6.790245,5.4833565,23.198593,78.0
20250302T1800,4.400245,6.193674,35.53766,1.0
20250302T1900,3.1102452,5.8048253,60.25511,0.0
20250302T2000,2.0402455,6.6185193,67.61986,0.0
20250302T2100,1.3202454,6.151683,69.443954,0.0
20250302T2200,0.4002454,5.0911684,81.869896,0.0
20250302T2300,-0.3697546,3.2599385,96.34019,0.0
20250303T0000,-0.40975457,4.379589,80.537674,0.0
20250303T0100,-0.8297546,4.3349743,85.23635,0.0
20250303T0200,-1.1597546,3.6,126.869896,0.0
20250303T0300,-1.2697546,3.396233,147.99461,0.0
20250303T0400,-1.6497546,3.8268526,138.81407,0.0
20250303T0500,-1.7897545,3.6,143.1301,0.0
20250303T0600,-1.9797546,3.8939953,146.30994,0.0
20250303T0700,-0.98975456,4.39436,145.00798,32.0
20250303T0800,1.9202454,3.8268526,131.18591,173.0
20250303T0900,4.4102454,3.5455887,113.96249,323.0
20250303T1000,6.3502455,3.219938,116.56505,467.0
20250303T1100,8.260245,2.7416782,113.19859,559.0
20250303T1200,9.820246,3.396233,122.00538,599.0
20250303T1300,11.130245,3.096837,125.537674,582.0
20250303T1400,12.130245,3.096837,125.537674,511.0
20250303T1500,12.430245,2.4149535,116.56505,393.0
20250303T1600,11.990245,1.8,36.86989,241.0
20250303T1700,9.660245,4.3349743,4.7636414,84.0
20250303T1800,8.290245,2.9024127,29.744873,2.0
20250303T1900,6.500245,1.835647,78.69006,0.0
20250303T2000,3.3402452,3.2599385,96.34019,0.0
20250303T2100,1.6502454,3.9763298,84.805565,0.0
20250303T2200,0.3902454,3.96,89.99999,0.0
20250303T2300,-0.3197546,3.7585104,106.69924,0.0
20250304T0000,-0.5897546,3.8939953,123.69006,0.0
20250304T0100,-0.46975458,4.072935,135.0,0.0
20250304T0200,-0.76975465,4.3349743,131.63353,0.0
20250304T0300,-0.8497546,4.3349743,131.63353,0.0
20250304T0400,-0.90975463,4.6102495,141.34018,0.0
20250304T0500,-0.86975455,4.6938257,147.52881,0.0
20250304T0600,-1.0997546,4.6102495,141.34018,0.0
20250304T0700,-0.10975462,4.8965297,126.027374,37.0
20250304T0800,2.6402454,4.0249224,116.56505,177.0
20250304T0900,5.8002453,3.319036,102.52881,326.0
20250304T1000,8.430245,2.6208394,105.9454,465.0
20250304T1100,10.280245,2.8799999,89.99999,557.0
20250304T1200,11.950245,2.1897945,80.537674,600.0
20250304T1300,13.100245,2.2768397,71.56504,561.0
20250304T1400,13.910245,3.7064266,60.945396,508.0
20250304T1500,14.110246,4.1046314,52.125,379.0
20250304T1600,13.430245,2.8799999,360.0,243.0
20250304T1700,11.700245,2.5959969,326.30994,87.0
20250304T1800,8.530246,0.5091169,315.0,2.0
20250304T1900,7.0302453,2.5959969,123.69006,0.0
20250304T2000,3.8502455,4.198285,120.96376,0.0
20250304T2100,2.7502456,3.219938,116.56505,0.0
20250304T2200,1.6602454,3.5455887,113.96249,0.0
20250304T2300,1.0602454,3.6,126.869896,0.0
20250305T0000,0.7102454,4.072935,135.0,0.0
20250305T0100,0.5002454,4.5820518,135.0,0.0
20250305T0200,0.2602454,4.3349743,131.63353,0.0
20250305T0300,0.100245416,4.1046314,127.874985,0.0
20250305T0400,-0.23975462,4.3349743,131.63353,0.0
20250305T0500,-0.60975456,4.6102495,141.34018,0.0
20250305T0600,-0.6697546,4.6102495,141.34018,0.0
20250305T0700,0.35024542,5.3517847,137.72632,40.0
20250305T0800,3.6702452,4.8433046,131.98721,186.0
20250305T0900,7.020245,3.8268526,131.18591,347.0
20250305T1000,10.280245,4.1046314,142.12502,482.0
20250305T1100,12.600245,3.396233,147.99461,573.0
20250305T1200,14.530245,3.0758414,159.44395,612.0
20250305T1300,15.880245,3.319036,167.47119,594.0
20250305T1400,16.710245,2.968636,165.96376,522.0
20250305T1500,17.030245,2.0991426,149.03624,403.0
20250305T1600,16.340246,1.4399999,89.99999,251.0
20250305T1700,13.410245,3.4152596,108.434944,92.0
20250305T1800,9.870245,4.39436,124.99202,3.0
20250305T1900,6.8502455,4.39436,124.99202,0.0
20250305T2000,4.3302455,3.8939953,123.69006,0.0
20250305T2100,3.2902455,3.6,126.869896,0.0
20250305T2200,3.0802455,4.072935,135.0,0.0
20250305T2300,2.3002453,4.3349743,138.36646,0.0
20250306T0000,1.7402455,4.3349743,131.63353,0.0
20250306T0100,1.2502453,4.6102495,128.6598,0.0
20250306T0200,0.7902454,4.8433046,138.01279,0.0
20250306T0300,0.4202454,4.8433046,138.01279,0.0
20250306T0400,0.20024541,4.6102495,141.34018,0.0
20250306T0500,-0.33975458,4.39436,145.00798,0.0
20250306T0600,-0.5797546,4.39436,145.00798,0.0
20250306T0700,1.1302454,4.8965297,143.97263,43.0
20250306T0800,5.040245,5.315336,151.69923,189.0
20250306T0900,9.3102455,4.0249224,153.43495,347.0
20250306T1000,12.400246,2.5959969,146.30994,479.0
20250306T1100,14.670245,2.8116899,140.19443,569.0
20250306T1200,16.360247,3.219938,153.43495,607.0
20250306T1300,17.430244,1.5273507,135.0,589.0
20250306T1400,18.120245,0.8049845,116.56505,519.0
20250306T1500,18.380245,0.71999997,89.99999,401.0
20250306T1600,17.600245,1.484318,345.96375,250.0
20250306T1700,15.620245,2.8116899,39.805573,94.0
20250306T1800,12.630245,3.7585104,73.30075,3.0
20250306T1900,9.280245,3.9763298,95.19443,0.0
20250306T2000,6.8702455,4.3498964,114.44395,0.0
20250306T2100,5.880245,3.396233,122.00538,0.0
20250306T2200,3.8502455,2.0991426,149.03624,0.0
20250306T2300,3.1902456,1.1384199,161.56505,0.0
20250307T0000,2.6302452,1.8,143.1301,0.0
20250307T0100,2.3102455,2.2768397,161.56505,0.0
20250307T0200,1.8102454,3.671294,168.69006,0.0
20250307T0300,1.1302454,3.6179552,174.28941,0.0
20250307T0400,0.97024536,2.968636,165.96376,0.0
20250307T0500,0.7302454,3.219938,153.43495,0.0
20250307T0600,0.8002454,3.7064266,150.94539,0.0
20250307T0700,2.5102453,4.198285,149.03624,46.0
20250307T0800,6.5302453,4.198285,149.03624,193.0
20250307T0900,9.910245,1.8,143.1301,349.0
20250307T1000,12.790245,1.0182338,44.999985,481.0
20250307T1100,14.710245,1.9386592,21.801407,570.0
20250307T1200,15.790245,2.6208394,15.945404,609.0
20250307T1300,16.470245,3.319036,12.528809,591.0
20250307T1400,16.830246,3.671294,11.309921,520.0
20250307T1500,16.740246,3.9763298,5.194412,402.0
20250307T1600,15.900246,2.6208394,344.0546,253.0
20250307T1700,13.210245,5.815978,338.1986,96.0
20250307T1800,12.140245,6.130579,356.63354,4.0
20250307T1900,10.000245,4.6938257,32.47119,0.0
20250307T2000,7.270245,4.3498964,65.55604,0.0
20250307T2100,5.150245,4.68,89.99999,0.0
20250307T2200,4.710245,3.319036,102.52881,0.0
20250307T2300,4.0002456,3.096837,125.537674,0.0
20250308T0000,3.3202453,3.6,126.869896,0.0
20250308T0100,2.7302456,4.1046314,127.874985,0.0
20250308T0200,2.2202454,3.6,126.869896,0.0
20250308T0300,1.9702454,4.198285,120.96376,0.0
20250308T0400,1.6802454,4.6938257,122.47119,0.0
20250308T0500,1.2302454,4.8965297,126.027374,0.0
20250308T0600,1.0002453,5.1165614,129.2894,0.0
20250308T0700,2.2802453,6.193674,125.537674,46.0
20250308T0800,5.8002453,4.8965297,126.027374,190.0
20250308T0900,9.330245,3.7064266,119.054596,360.0
20250308T1000,12.530245,4.32,89.99999,494.0
20250308T1100,14.8102455,5.4119864,93.81408,584.0
20250308T1200,16.390245,5.815978,111.80141,622.0
20250308T1300,17.390245,5.0142193,111.03751,602.0
20250308T1400,17.980246,4.68,89.99999,529.0
20250308T1500,18.050245,5.3517847,70.346176,410.0
20250308T1600,17.500246,4.39436,55.007973,259.0
20250308T1700,15.290245,7.491114,54.782394,100.0
20250308T1800,11.120245,8.049845,63.43495,5.0
20250308T1900,8.650246,7.072878,75.25644,0.0
20250308T2000,6.9302454,5.4477882,82.40536,0.0
20250308T2100,5.6202455,4.6938252,94.398705,0.0
20250308T2200,5.2002454,4.802999,102.99461,0.0
20250308T2300,4.4402456,4.2136917,109.9831,0.0
20250309T0000,4.170245,4.3498964,114.44395,0.0
20250309T0100,3.7102456,4.072935,135.0,0.0
20250309T0200,3.5302453,3.8268526,138.81407,0.0
20250309T0300,3.5302453,4.0249224,116.56505,0.0
20250309T0400,2.9502454,4.3498964,114.44395,0.0
20250309T0500,2.1002455,4.6102495,128.6598,0.0
20250309T0600,1.9502454,4.8433046,131.98721,0.0
20250309T0700,3.3002453,5.3517847,132.27368,50.0
20250309T0800,7.0702453,3.8939953,123.69006,184.0
20250309T0900,10.610246,3.0758414,110.556046,353.0
20250309T1000,13.660245,3.0547013,44.999985,479.0
20250309T1100,15.5602455,5.3517847,42.27368,565.0
20250309T1200,17.140245,6.696387,36.25383,617.0
20250309T1300,18.020245,5.4833565,23.198593,601.0
20250309T1400,18.310246,6.151683,20.556046,529.0
20250309T1500,18.140245,6.9247384,27.897263,405.0
20250309T1600,17.530245,4.6800003,22.619858,259.0
20250309T1700,14.200245,8.427383,19.983109,96.0
20250309T1800,11.360246,8.587338,33.023865,5.0
20250309T1900,9.660245,6.8777895,47.121094,0.0
20250309T2000,8.120246,5.1919937,56.30993,0.0
20250309T2100,7.250245,4.3498964,65.55604,0.0
20250309T2200,6.860245,5.991594,57.26477,0.0
20250309T2300,6.4702454,4.829907,63.43495,0.0
20250310T0000,5.770245,4.3498964,65.55604,0.0
20250310T0100,6.3302455,3.6,89.99999,0.0
20250310T0200,6.520245,3.319036,139.3987,0.0
20250310T0300,7.3502455,2.5959969,213.69006,0.0
20250310T0400,8.480246,4.896529,197.10272,0.0
20250310T0500,8.840245,7.0911775,203.9625,0.0
20250310T0600,9.140245,8.4963045,216.38435,0.0
20250310T0700,9.480246,10.685391,237.38075,18.0
20250310T0800,9.750245,11.269782,243.43495,61.0
20250310T0900,9.910245,10.464797,243.43495,83.0
20250310T1000,10.000245,7.4128532,240.9454,91.0
20250310T1100,10.170245,4.452954,255.96376,102.0
20250310T1200,11.040245,4.452954,255.96376,261.0
20250310T1300,11.880245,4.6102495,231.3402,340.0
20250310T1400,12.610246,4.6938257,237.52881,306.0
20250310T1500,13.150246,2.1897945,260.5377,236.0
20250310T1600,13.210245,3.396233,57.994614,157.0
20250310T1700,10.890245,5.3999996,89.99999,76.0
20250310T1800,8.340245,4.6938257,122.47119,5.0
20250310T1900,6.0802455,4.072935,135.0,0.0
20250310T2000,4.8002453,3.6,143.1301,0.0
20250310T2100,4.0202456,3.4152596,161.56505,0.0
20250310T2200,4.0202456,2.1897945,170.53767,0.0
20250310T2300,3.3202453,3.0758414,159.44395,0.0
20250311T0000,3.0402455,2.9024127,150.25511,0.0
20250311T0100,2.9302454,2.8116899,140.19443,0.0
20250311T0200,3.3602452,2.0991426,120.96376,0.0
20250311T0300,3.4702454,2.8116899,129.80557,0.0
20250311T0400,3.5702453,4.6102495,141.34018,0.0
20250311T0500,3.6002455,5.1919937,146.30994,0.0
20250311T0600,3.4702454,4.510787,151.38954,0.0
20250311T0700,4.670245,4.2136917,160.01689,44.0
20250311T0800,6.9902453,4.802999,192.99461,144.0
20250311T0900,9.800245,4.1046314,195.25513,227.0
20250311T1000,11.680245,2.7416782,203.1986,348.0
20250311T1100,12.790245,3.096837,215.53769,448.0
20250311T1200,13.710245,3.319036,220.6013,525.0
20250311T1300,14.080245,3.563818,225.0,559.0
20250311T1400,14.280245,3.8939953,236.30994,440.0
20250311T1500,14.140245,5.0911684,261.8699,293.0
20250311T1600,12.960245,4.0249224,243.43495,181.0
20250311T1700,11.900246,4.6102495,231.3402,88.0
20250311T1800,10.780245,1.484318,14.03624,5.0
20250311T1900,9.330245,0.8049845,63.43495,0.0
20250311T2000,8.850245,0.5091169,135.0,0.0
20250311T2100,8.300245,1.08,89.99999,0.0
20250311T2200,7.4102454,2.7416782,66.8014,0.0
20250311T2300,7.480245,1.8,180.0,0.0
20250312T0000,7.880245,3.4152596,198.43495,0.0
20250312T0100,7.9302454,3.6,216.8699,0.0
20250312T0200,7.190245,0.71999997,180.0,0.0
20250312T0300,7.210245,0.5091169,44.999985,0.0
20250312T0400,7.130245,0.8049845,63.43495,0.0
20250312T0500,7.230245,0.71999997,180.0,0.0
20250312T0600,7.3102455,2.1897945,279.46234,0.0
20250312T0700,7.3102455,2.8116899,309.80557,11.0
20250312T0800,7.380245,2.7416782,336.8014,33.0
20250312T0900,7.480245,2.3051248,321.3402,78.0
20250312T1000,7.440245,5.0142193,338.9625,90.0
20250312T1100,7.630245,4.1046314,344.74487,101.0
20250312T1200,7.8502455,3.96,360.0,126.0
20250312T1300,8.170245,3.671294,348.69006,177.0
20250312T1400,8.080246,5.0142193,338.9625,168.0
20250312T1500,7.940245,6.5693827,350.5377,127.0
20250312T1600,7.6402454,6.4799995,360.0,94.0
20250312T1700,7.400245,4.6938252,4.398697,31.0
20250312T1800,6.5702453,3.2599385,6.340164,3.0
20250312T1900,6.540245,3.6,360.0,0.0
20250312T2000,6.2602453,4.32,360.0,0.0
20250312T2100,6.0602455,5.0911684,8.130096,0.0
20250312T2200,5.7402453,4.379589,9.462311,0.0
20250312T2300,5.7202454,4.802999,12.994629,0.0
20250313T0000,5.520245,6.0347,17.35402,0.0
20250313T0100,5.3402452,4.198285,30.963745,0.0
20250313T0200,5.3702455,3.8268526,41.18593,0.0
20250313T0300,5.4502454,3.8268526,48.81407,0.0
20250313T0400,5.400245,4.072935,44.999985,0.0
20250313T0500,5.270245,4.510787,28.610443,0.0
20250313T0600,4.9102454,4.6102495,38.659805,0.0
