location,Bâle,Bâle,Bâle,Bâle
lat,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653
variable,Temperature,Wind Speed,Wind Direction,Shortwave Radiation
unit,°C,km/h,°,W/m²
level,2 m elevation corrected,10 m,10 m,sfc
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Bâle Temperature [2 m elevation corrected],Bâle Wind Speed [10 m],Bâle Wind Direction [10 m],Bâle Shortwave Radiation
20250105T1100,10.160245,11.841756,199.53665,67.0
20250105T1200,10.360246,10.587917,197.8189,61.0
20250105T1300,10.140245,8.311245,184.96974,50.0
20250105T1400,10.320246,6.519877,173.6598,56.0
20250105T1500,9.880245,5.8603754,169.38034,59.0
20250105T1600,9.040245,6.725354,164.47589,14.0
20250105T1700,8.470245,7.5170207,163.30075,0.0
20250105T1800,7.670245,7.289444,159.77515,0.0
20250105T1900,7.400245,7.42159,157.16635,0.0
20250105T2000,6.790245,6.763786,154.79887,0.0
20250105T2100,6.3402452,6.9527545,158.7495,0.0
20250105T2200,5.520245,7.771331,166.6075,0.0
20250105T2300,5.3102455,9.904906,160.90651,0.0
20250106T0000,4.9302454,8.766573,160.82098,0.0
20250106T0100,4.630245,7.0911775,156.0375,0.0
20250106T0200,4.380245,7.42159,157.16635,0.0
20250106T0300,4.4102454,8.373386,154.53665,0.0
20250106T0400,4.4302454,8.534353,152.35402,0.0
20250106T0500,4.7002454,8.854829,153.43495,0.0
20250106T0600,4.940245,8.557102,157.75098,0.0
20250106T0700,4.980245,9.360001,157.38013,0.0
20250106T0800,5.440245,10.315115,150.75117,10.0
20250106T0900,7.2802453,10.495713,149.03624,58.0
20250106T1000,9.170245,10.990322,148.3925,92.0
20250106T1100,11.200245,14.561099,171.46924,195.0
20250106T1200,12.600245,16.23596,183.81407,181.0
20250106T1300,13.370245,15.893093,193.09189,210.0
20250106T1400,12.910245,18.204042,204.53773,145.0
20250106T1500,12.970245,18.514643,206.56505,76.0
20250106T1600,11.930245,18.58451,211.53479,16.0
20250106T1700,10.940246,18.089775,222.5805,0.0
20250106T1800,9.960245,16.055355,227.72632,0.0
20250106T1900,9.410245,16.375053,236.6593,0.0
20250106T2000,8.950245,16.263872,242.30054,0.0
20250106T2100,8.480246,14.982228,234.78241,0.0
20250106T2200,8.070246,13.044722,219.40067,0.0
20250106T2300,7.7002454,13.392774,216.25385,0.0
20250107T0000,7.4102454,14.277983,213.69006,0.0
20250107T0100,7.210245,15.277749,214.439,0.0
20250107T0200,7.0802455,15.03835,222.08917,0.0
20250107T0300,6.900245,16.08761,229.53778,0.0
20250107T0400,6.6402454,16.323528,228.57634,0.0
20250107T0500,6.3402452,16.039202,224.09062,0.0
20250107T0600,6.1802454,15.629971,218.4537,0.0
20250107T0700,6.110245,14.982228,215.21759,0.0
20250107T0800,6.210245,15.9134655,217.64761,9.0
20250107T0900,6.380245,17.31746,226.6847,72.0
20250107T1000,6.4302454,15.629971,231.5463,117.0
20250107T1100,6.3902454,17.673029,236.63364,134.0
20250107T1200,6.5702453,17.414474,240.25513,117.0
20250107T1300,6.790245,17.10284,239.65675,200.0
20250107T1400,6.6002455,17.287498,238.627,188.0
20250107T1500,6.3502455,16.279802,234.90419,104.0
20250107T1600,5.8702455,13.608762,232.52382,23.0
20250107T1700,5.5802455,11.457958,223.72697,0.0
20250107T1800,5.4102454,9.085988,213.69006,0.0
20250107T1900,5.6002455,8.654986,196.92752,0.0
20250107T2000,5.770245,7.208994,177.13759,0.0
20250107T2100,5.420245,6.130579,176.63354,0.0
20250107T2200,5.0102453,6.4799995,180.0,0.0
20250107T2300,5.250245,7.771331,193.3925,0.0
20250108T0000,6.020245,8.854829,206.56505,0.0
20250108T0100,6.940245,14.05845,219.80557,0.0
20250108T0200,7.440245,15.7908325,226.84761,0.0
20250108T0300,7.6202455,13.896187,233.42697,0.0
20250108T0400,7.5102453,10.883676,235.7843,0.0
20250108T0500,7.170245,8.161764,228.57634,0.0
20250108T0600,7.000245,5.315336,208.30077,0.0
20250108T0700,6.960245,2.5959969,213.69006,0.0
20250108T0800,6.9702454,1.835647,78.69006,1.0
20250108T0900,7.0702453,2.52,89.99999,10.0
20250108T1000,6.2602453,1.1384199,108.434944,19.0
20250108T1100,6.730245,2.5959969,123.69006,31.0
20250108T1200,7.5302453,6.162207,186.70984,21.0
20250108T1300,8.410246,13.281023,212.82855,31.0
20250108T1400,10.220245,23.199759,221.85504,35.0
20250108T1500,11.470245,23.1774,223.11182,27.0
20250108T1600,11.620245,18.581022,215.53769,13.0
20250108T1700,11.480246,12.904882,202.98872,0.0
20250108T1800,12.160245,11.090103,193.13402,0.0
20250108T1900,13.150246,10.931203,197.24146,0.0
20250108T2000,13.260245,11.269782,206.56505,0.0
20250108T2100,13.270246,14.529915,221.98721,0.0
20250108T2200,11.960245,15.986593,234.16235,0.0
20250108T2300,11.510245,19.8,233.1301,0.0
20250109T0000,11.460245,20.364674,225.0,0.0
20250109T0100,11.390245,18.947083,218.82983,0.0
20250109T0200,11.040245,17.22742,206.0296,0.0
20250109T0300,10.990245,14.759999,192.68039,0.0
20250109T0400,11.170245,13.397612,186.17018,0.0
20250109T0500,11.290245,14.759999,192.68039,0.0
20250109T0600,11.640245,18.720001,202.61987,0.0
20250109T0700,11.720245,20.140705,204.27444,0.0
20250109T0800,12.010245,21.734581,206.56505,7.0
20250109T0900,12.580245,22.406927,203.68208,46.0
20250109T1000,12.390245,23.773632,212.00539,99.0
20250109T1100,12.020246,27.07669,215.80334,65.0
20250109T1200,12.450245,30.096085,216.73283,86.0
20250109T1300,12.690246,29.407835,219.53616,93.0
20250109T1400,12.340245,28.766228,225.50702,99.0
20250109T1500,11.270246,25.071098,248.9625,58.0
20250109T1600,8.5602455,25.772078,294.77515,3.0
20250109T1700,5.630245,19.878391,305.41705,0.0
20250109T1800,4.3702455,16.299694,300.5297,0.0
20250109T1900,3.6102452,14.84318,292.83368,0.0
20250109T2000,3.0202456,11.874544,284.03625,0.0
20250109T2100,2.6902456,9.3669195,267.7974,0.0
20250109T2200,2.4302454,10.163227,247.0679,0.0
20250109T2300,2.3802454,9.83268,246.2505,0.0
20250110T0000,2.4402454,9.021574,241.38954,0.0
20250110T0100,2.3902454,7.491114,234.78241,0.0
20250110T0200,2.1402454,7.7879906,236.30994,0.0
20250110T0300,2.0902452,5.8603754,227.48956,0.0
20250110T0400,1.9802454,6.6087217,209.35776,0.0
20250110T0500,1.9902455,6.12,208.0725,0.0
20250110T0600,1.8302454,5.5887027,194.93143,0.0
20250110T0700,1.5202454,5.4477882,187.59465,0.0
20250110T0800,1.8302454,3.9763298,174.80557,12.0
20250110T0900,2.3002453,4.1046314,164.74487,95.0
20250110T1000,3.1602454,7.42159,219.09386,186.0
20250110T1100,3.7802453,6.297428,210.96376,261.0
20250110T1200,4.3402452,5.04,180.0,264.0
20250110T1300,4.6202455,4.829907,153.43495,224.0
20250110T1400,4.6802454,3.8939953,146.30994,164.0
20250110T1500,4.0102453,3.4152596,108.434944,111.0
20250110T1600,3.3202453,5.0528407,94.08562,28.0
20250110T1700,2.2102454,3.8268526,41.18593,0.0
20250110T1800,0.8202454,6.12,28.07248,0.0
20250110T1900,0.47024542,5.3999996,53.130096,0.0
20250110T2000,0.5302454,4.6102495,51.34018,0.0
20250110T2100,0.20024541,4.6102495,51.34018,0.0
20250110T2200,-0.3697546,3.0547013,44.999985,0.0
20250110T2300,-1.0997546,4.072935,44.999985,0.0
20250111T0000,-1.5097545,4.3349743,48.366455,0.0
20250111T0100,-2.0097547,3.8268526,41.18593,0.0
20250111T0200,-2.2597547,4.510787,28.610443,0.0
20250111T0300,-2.4197545,4.6938257,32.47119,0.0
20250111T0400,-2.9297547,6.6185193,22.380127,0.0
20250111T0500,-2.7797546,6.6087217,29.357742,0.0
20250111T0600,-2.9897547,6.989936,34.508514,0.0
20250111T0700,-3.4197545,7.10031,30.465546,0.0
20250111T0800,-3.1197548,5.95906,25.016876,16.0
20250111T0900,-1.3397546,5.4833565,23.198593,106.0
20250111T1000,0.11024541,8.0899935,32.275635,209.0
20250111T1100,1.0802454,8.209263,37.87497,284.0
20250111T1200,1.8802454,8.587338,33.023865,319.0
20250111T1300,2.4502454,9.178235,25.559967,269.0
20250111T1400,2.4402454,9.904906,19.093475,208.0
20250111T1500,1.9702454,8.707238,7.125,115.0
20250111T1600,0.9202454,7.2359104,354.28943,27.0
20250111T1700,0.2602454,6.924738,351.02737,0.0
20250111T1800,-0.23975462,5.5887027,345.0686,0.0
20250111T1900,-1.4497546,5.1544156,347.90524,0.0
20250111T2000,-1.9997545,5.1544156,347.90524,0.0
20250111T2100,-2.1097546,5.815978,338.1986,0.0
20250111T2200,-2.0797548,5.0528407,355.91437,0.0
20250111T2300,-2.6297545,6.5693827,350.5377,0.0
20250112T0000,-3.1697545,6.151683,339.44397,0.0
20250112T0100,-3.4897547,5.3999996,323.13013,0.0
20250112T0200,-3.3097544,5.0911684,315.0,0.0
20250112T0300,-3.1897545,4.3349743,311.63354,0.0
20250112T0400,-2.5697546,4.6800003,337.38013,0.0
20250112T0500,-2.1697545,5.8603754,349.38034,0.0
20250112T0600,-2.0297546,6.162207,353.29016,0.0
20250112T0700,-1.7997545,5.7599998,360.0,0.0
20250112T0800,-1.4197546,6.849467,356.98724,10.0
20250112T0900,-0.72975457,9.3876505,4.398697,67.0
20250112T1000,0.14024541,9.531505,10.885529,146.0
20250112T1100,0.8702454,11.27553,16.69925,171.0
20250112T1200,1.6202455,11.91812,25.016876,269.0
20250112T1300,1.9802454,12.074766,26.565033,241.0
20250112T1400,2.1102452,11.440979,24.145538,198.0
20250112T1500,1.6502454,8.825508,11.76828,127.0
20250112T1600,0.5602454,7.2,360.0,33.0
20250112T1700,-0.4397546,7.5942073,5.440323,0.0
20250112T1800,-1.5197545,8.311245,17.650116,0.0
20250112T1900,-2.2997546,8.311245,17.650116,0.0
20250112T2000,-2.8997545,8.311245,17.650116,0.0
20250112T2100,-2.9197545,7.928177,39.472458,0.0
20250112T2200,-3.1797547,7.145796,40.914368,0.0
20250112T2300,-3.479755,7.491114,35.217575,0.0
20250113T0000,-3.5797548,7.289445,32.905228,0.0
20250113T0100,-3.3597546,7.24486,26.565033,0.0
20250113T0200,-3.4297547,6.9247384,27.897263,0.0
20250113T0300,-3.6997547,6.792466,32.005356,0.0
20250113T0400,-3.769755,7.10031,30.465546,0.0
20250113T0500,-3.749755,7.289445,32.905228,0.0
20250113T0600,-4.1797547,6.4096174,38.157227,0.0
20250113T0700,-4.559755,6.618519,44.999985,0.0
20250113T0800,-3.3197546,6.9153743,38.659805,17.0
20250113T0900,-1.3197546,8.942214,40.100906,115.0
20250113T1000,-0.009754598,11.753876,40.03026,225.0
20250113T1100,0.9102454,12.819235,38.157227,303.0
20250113T1200,1.7502455,12.218805,44.999985,339.0
20250113T1300,2.4502454,12.096214,53.47113,325.0
20250113T1400,2.3002453,11.304229,52.76516,254.0
20250113T1500,1.3902454,7.42159,50.906143,154.0
20250113T1600,-1.2097546,6.3690495,47.29059,41.0
20250113T1700,-2.3297548,6.8777895,47.121094,0.0
20250113T1800,-3.0797548,6.638072,49.398697,0.0
20250113T1900,-3.5897546,5.8048253,60.25511,0.0
20250113T2000,-3.9497547,4.6800003,67.380135,0.0
20250113T2100,-3.9497547,4.1046314,74.74488,0.0
20250113T2200,-3.7897549,3.8773184,111.80141,0.0
20250113T2300,-4.0897546,5.00128,120.25643,0.0
20250114T0000,-3.6097546,3.671294,78.69006,0.0
20250114T0100,-3.499755,2.2768397,71.56504,0.0
20250114T0200,-3.769755,2.5455842,81.869896,0.0
20250114T0300,-4.0697546,2.8799999,89.99999,0.0
20250114T0400,-4.139755,3.4152596,108.434944,0.0
20250114T0500,-5.3597546,3.5455887,113.96249,0.0
20250114T0600,-5.809755,2.6208394,105.9454,0.0
20250114T0700,-5.8397546,3.396233,122.00538,0.0
20250114T0800,-4.849755,4.198285,120.96376,16.0
20250114T0900,-2.5897546,4.2136917,109.9831,115.0
20250114T1000,-0.9497546,3.8773184,111.80141,229.0
20250114T1100,0.3802454,4.2136917,109.9831,310.0
20250114T1200,1.3402455,4.2136917,109.9831,333.0
20250114T1300,2.1202455,3.6179552,95.71059,323.0
20250114T1400,2.5302453,2.0364676,44.999985,259.0
20250114T1500,1.7402455,4.6938252,4.398697,155.0
20250114T1600,1.1102455,4.0249224,26.565033,42.0
20250114T1700,-0.27975458,2.7416782,66.8014,0.0
20250114T1800,-2.8797545,3.96,89.99999,0.0
20250114T1900,-3.8197546,3.6179552,95.71059,0.0
20250114T2000,-4.3597546,2.5455842,135.0,0.0
20250114T2100,-5.0097547,3.0547013,135.0,0.0
20250114T2200,-5.249755,3.0758414,159.44395,0.0
20250114T2300,-5.3597546,3.219938,153.43495,0.0
20250115T0000,-5.5297546,2.9024127,150.25511,0.0
20250115T0100,-5.4497547,2.2768397,161.56505,0.0
20250115T0200,-4.619755,3.4152596,161.56505,0.0
20250115T0300,-3.3797545,4.3498964,155.55605,0.0
20250115T0400,-2.4597545,5.506941,168.69006,0.0
20250115T0500,-1.7997545,3.671294,168.69006,0.0
20250115T0600,-1.2997546,2.0364676,135.0,0.0
20250115T0700,-1.1197546,1.609969,116.56505,0.0
20250115T0800,-0.9397546,1.835647,101.30993,2.0
20250115T0900,-0.23975462,1.9386592,68.19859,14.0
20250115T1000,0.9802454,4.6800003,67.380135,52.0
20250115T1100,1.8402454,4.2136917,70.016884,78.0
20250115T1200,2.5702453,3.8939953,56.30993,111.0
20250115T1300,3.2302456,4.510787,28.610443,156.0
20250115T1400,3.2002454,5.5887027,14.931412,137.0
20250115T1500,2.8602452,6.2145634,10.00798,104.0
20250115T1600,1.5402454,8.225035,23.198593,34.0
20250115T1700,1.1802454,8.39657,30.963745,0.0
20250115T1800,1.2302454,7.928177,39.472458,0.0
20250115T1900,1.1202455,7.386582,43.025055,0.0
20250115T2000,0.8502454,6.9153743,38.659805,0.0
20250115T2100,0.8302454,6.489992,33.690063,0.0
20250115T2200,1.4202454,5.3517847,42.27368,0.0
20250115T2300,1.3102454,6.1305785,40.236343,0.0
20250116T0000,1.2102454,5.904439,37.568573,0.0
20250116T0100,1.3602455,5.692099,34.69516,0.0
20250116T0200,1.4002454,5.904439,37.568573,0.0
20250116T0300,1.4502454,6.3690495,42.70938,0.0
20250116T0400,1.7702454,6.4096174,38.157227,0.0
20250116T0500,1.6902454,7.145796,40.914368,0.0
20250116T0600,1.7102454,6.9153743,38.659805,0.0
20250116T0700,1.6102453,6.696387,36.25383,0.0
20250116T0800,1.7302454,5.991594,32.735214,10.0
20250116T0900,2.4902453,6.618519,44.999985,75.0
20250116T1000,3.4802456,9.178235,64.440025,141.0
20250116T1100,4.3502455,6.924738,81.02737,232.0
20250116T1200,5.0302453,5.3517847,109.653824,309.0
20250116T1300,5.3202453,5.0911684,81.869896,299.0
20250116T1400,5.290245,5.00128,59.74356,226.0
20250116T1500,4.1602454,3.0758414,69.443954,123.0
20250116T1600,4.4702454,3.7064266,60.945396,42.0
20250116T1700,3.5902452,5.1919937,56.30993,0.0
20250116T1800,1.8302454,6.0347,72.64597,0.0
20250116T1900,0.5602454,4.452954,75.96376,0.0
20250116T2000,0.22024539,3.671294,78.69006,0.0
20250116T2100,0.14024541,3.6179552,84.289406,0.0
20250116T2200,0.17024541,3.6,89.99999,0.0
20250116T2300,-0.04975462,4.0249224,100.30484,0.0
20250117T0000,0.13024542,4.3349743,131.63353,0.0
20250117T0100,0.070245415,2.8116899,140.19443,0.0
20250117T0200,-0.46975458,3.396233,147.99461,0.0
20250117T0300,-0.7197546,3.5455887,156.0375,0.0
20250117T0400,-0.8097546,4.39436,145.00798,0.0
20250117T0500,-0.8197546,4.198285,149.03624,0.0
20250117T0600,-0.85975456,4.6938257,147.52881,0.0
20250117T0700,-0.48975456,4.198285,149.03624,0.0
20250117T0800,-0.1897546,4.072935,135.0,16.0
20250117T0900,0.6202454,3.319036,130.60129,98.0
20250117T1000,1.2202454,3.8939953,123.69006,197.0
20250117T1100,1.7102454,5.0142193,111.03751,285.0
20250117T1200,2.0502453,5.815978,111.80141,319.0
20250117T1300,2.3402452,4.6800003,112.61986,321.0
20250117T1400,2.4802454,3.8268526,131.18591,255.0
20250117T1500,2.2902455,1.8,126.869896,153.0
